kolumna,n_obs,braki_%,bins,KL
patient_id,7370,0.0,13,0.0
patient_age,7370,0.0,13,0.0
patient_sex,7370,0.0,13,0.0
MCH,6524,11.5,13,0.006691
HGB,6524,11.5,13,0.02144
MCV,6524,11.5,13,0.012602
RBC,6524,11.5,13,0.019291
MCHC,6524,11.5,13,0.012227
PLT,6500,11.8,13,0.007139
HCT,6524,11.5,13,0.01635
WBC,6524,11.5,13,0.000796
RDW,6524,11.5,13,0.006056
%BAZO,6516,11.6,13,0.012933
BAZO,6516,11.6,13,0.009949
EO,6516,11.6,13,0.000639
%EO,6516,11.6,13,0.001631
LYMPH,6515,11.6,13,0.009952
%LYMPH,6515,11.6,13,0.018886
%MONO,6515,11.6,13,0.003508
MONO,6515,11.6,13,0.000481
MPV,6504,11.8,13,0.008759
KREA,5531,25.0,13,0.000308
Na,5705,22.6,13,0.001608
K,5693,22.8,13,0.00028
%IG,5522,25.1,13,0.000667
IG,5522,25.1,13,0.001665
eGFR-MDRD,4480,39.2,13,0.018939
eGFRCKD,4467,39.4,13,0.088434
NEUT,4498,39.0,13,0.00753
%NEUT,4498,39.0,13,0.023008
%NRBC,4129,44.0,13,0.000546
NRBC,4129,44.0,13,0.000831
CRP,4082,44.6,12,0.015448
