Zbior,Estymator,max_iter,RMSE,MAE
NEURO,ExtraTrees(n=10),5,0.051322,0.021958
NEURO,ExtraTrees(n=10),10,0.051341,0.022007
NEURO,ExtraTrees(n=10),20,0.051346,0.022117
NEURO,ExtraTrees(n=10),50,0.052173,0.022372
NEURO,ExtraTrees(n=10),30,0.0525,0.022318
NEURO,BayesianRidge,5,0.056262,0.02492
NEURO,BayesianRidge,50,0.056391,0.024409
NEURO,BayesianRidge,10,0.056426,0.024633
NEURO,BayesianRidge,30,0.056435,0.024458
NEURO,BayesianRidge,20,0.056476,0.024497
KOR,ExtraTrees(n=10),10,0.034773,0.012833
KOR,ExtraTrees(n=10),50,0.034857,0.012832
KOR,ExtraTrees(n=10),20,0.035032,0.012925
KOR,ExtraTrees(n=10),5,0.035164,0.012997
KOR,ExtraTrees(n=10),30,0.036178,0.013021
KOR,BayesianRidge,5,0.040623,0.015832
KOR,BayesianRidge,10,0.040711,0.015784
KOR,BayesianRidge,50,0.040742,0.015784
KOR,BayesianRidge,30,0.040757,0.015776
KOR,BayesianRidge,20,0.040769,0.015778
